breed_slug,file,source,source_url,author,license,license_url,width,height,downloaded_at
abyssinian,abyssinian_1.jpg,Pexels,https://www.pexels.com/photo/abyssinian-cat-sitting-on-ground-13986951/,Lindsey Garrett,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
abyssinian,abyssinian_2.jpg,Pexels,https://www.pexels.com/photo/a-tabby-cat-in-tilt-shift-lens-10923694/,Pinamon,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
abyssinian,abyssinian_3.jpg,Pexels,https://www.pexels.com/photo/brown-cat-on-white-marble-surface-11926911/,221095294,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
abyssinian,abyssinian_4.jpg,Pexels,https://www.pexels.com/photo/brown-cat-sitting-beside-the-glass-window-12314459/,Vina Lina,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
abyssinian,abyssinian_5.jpg,Pexels,https://www.pexels.com/photo/abyssinian-cat-outdoors-in-ha-noi-vietnam-36945968/,dqnguyen15,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
american-shorthair,ash_1.jpg,Pexels,https://www.pexels.com/photo/close-up-photo-of-a-cat-13302239/,Igor Ejov,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
american-shorthair,ash_2.png,Pexels,https://www.pexels.com/photo/close-up-photo-of-gray-cat-with-green-eyes-2167221/,Gabriel Crisan,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
american-shorthair,ash_3.jpg,Pexels,https://www.pexels.com/photo/a-tabby-cat-on-black-surface-6830192/,Canaros,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
american-shorthair,ash_4.png,Pexels,https://www.pexels.com/photo/tabby-cat-2173009/,Gabriel Crisan,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
american-shorthair,ash_5.jpg,Pexels,https://www.pexels.com/photo/dramatic-portrait-of-a-senior-tabby-cat-34195657/,Poopfishsocks,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
australian-cattle-dog,acd_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
australian-cattle-dog,acd_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
australian-cattle-dog,acd_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
australian-cattle-dog,acd_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
australian-cattle-dog,acd_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
australian-cattle-dog,acd_6.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
australian-cattle-dog,acd_7.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
australian-shepherd,as_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
australian-shepherd,as_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
australian-shepherd,as_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
australian-shepherd,as_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
australian-shepherd,as_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
beagle,beagle_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
beagle,beagle_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
beagle,beagle_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
beagle,beagle_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
beagle,beagle_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
belgian-malinois,bm_1.jpg,Pexels,https://www.pexels.com/photo/belgian-malinois-dog-in-water-on-sea-shore-20207074/,Jozef Feher,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
belgian-malinois,bm_2.jpg,Pexels,https://www.pexels.com/photo/malinois-dog-standing-on-brown-field-under-blue-sky-13076152/,Laura Paredis,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
belgian-malinois,bm_3.jpg,Pexels,https://www.pexels.com/photo/playful-belgian-malinois-with-stick-in-park-32533831/,Jeroen van Wouden,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
belgian-malinois,bm_4.jpg,Pexels,https://www.pexels.com/photo/close-up-shot-of-a-belgian-malinois-12429055/,Fernando Lacerda Branco,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
belgian-malinois,bm_5.jpg,Pexels,https://www.pexels.com/photo/belgian-malinois-dog-in-pickup-truck-outdoors-30403066/,Amar,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
bengal,bengal_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
bengal,bengal_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
bengal,bengal_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
bengal,bengal_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
